Presidency ,President ,Wikipedia Entry,Took office ,Left office ,Party ,Portrait,Home State,Trivia,Age elected
35,John F. Kennedy,http://en.wikipedia.org/wiki/John_F._Kennedy,20/01/1961,22/11/1963,Democratic,"https://en.wikipedia.org/wiki/John_F._Kennedy#/media/File:John_F._Kennedy,_White_House_photo_portrait,_looking_up.jpg",Massachusetts,Founded the Peace Corps,43
36,Lyndon B. Johnson,http://en.wikipedia.org/wiki/Lyndon_B._Johnson,22/11/1963,20/01/1969,Democratic,https://en.wikipedia.org/wiki/Lyndon_B._Johnson#/media/File:37_Lyndon_Johnson_3x4.jpg,Texas,"Declared a ""war on poverty""",55
37,Richard Nixon,http://en.wikipedia.org/wiki/Richard_Nixon,20/01/1969,09/08/1974,Republican,"https://en.wikipedia.org/wiki/Richard_Nixon#/media/File:Richard_M._Nixon,_ca._1935_-_1982_-_NARA_-_530679.jpg",California,Opened the door to the People's Republic of China,56
38,Gerald Ford,http://en.wikipedia.org/wiki/Gerald_Ford,09/08/1974,20/01/1977,Republican,https://en.wikipedia.org/wiki/Gerald_Ford#/media/File:Gerald_Ford_-_NARA_-_530680.tif,Michigan,The only man to hold the nation's two top offices without being elected to either,61
39,Jimmy Carter,http://en.wikipedia.org/wiki/Jimmy_Carter,20/01/1977,20/01/1981,Democratic ,https://en.wikipedia.org/wiki/Jimmy_Carter#/media/File:James_Earl_%22Jimmy%22_Carter_-_NARA_-_558522.tif,Georgia,Brought Egypt and Israel to the peace table,52
40,Ronald Reagan,http://en.wikipedia.org/wiki/Ronald_Reagan,20/01/1981,20/01/1989,Republican ,https://en.wikipedia.org/wiki/Ronald_Reagan#/media/File:Official_Portrait_of_President_Reagan_1981.jpg,California,Served two terms as the governor of California,69
41,George H. W. Bush,http://en.wikipedia.org/wiki/George_H._W._Bush,20/01/1989,20/01/1993,Republican ,"https://en.wikipedia.org/wiki/George_H._W._Bush#/media/File:George_H._W._Bush,_President_of_the_United_States,_1989_official_portrait.jpg",Texas,Lead us through Operation Desert Storm,64
42,Bill Clinton,http://en.wikipedia.org/wiki/Bill_Clinton,20/01/1993,20/01/2001,Democratic ,https://en.wikipedia.org/wiki/Bill_Clinton#/media/File:44_Bill_Clinton_3x4.jpg,Arkansas,Campaigned for Health Care reform,46
43,George W. Bush,http://en.wikipedia.org/wiki/George_W._Bush,20/01/2001,20/01/2009,Republican ,https://en.wikipedia.org/wiki/File:George-W-Bush.jpeg,Texas,"Responded to the September 11 terrorist attacks with the Bush Doctrine: launching a ""War on Terror"", an international military campaign which included the war in Afghanistan, in 2001, and the Iraq War, in 2003",54
44,Barack Obama,http://en.wikipedia.org/wiki/Barack_Obama,20/01/2009,20/01/2017,  Democratic   ,https://en.wikipedia.org/wiki/Barack_Obama#/media/File:President_Barack_Obama.jpg,Illinois,Was awarded the 2009 Nobel Peace Prize.,47
45,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump,20/01/2017,incumbent,Republican,https://en.wikipedia.org/wiki/Donald_Trump#/media/File:Donald_Trump_official_portrait.jpg,New York,The oldest and wealthiest person to assume the presidency.,70
